age_lut_id,age_code,age_txt,fw_annuli_txt,maiden_sw_annuli_txt,total_sw_annuli,sy_total_age,prior_spawning_count,date_added,verified
151,'W1.1                                                                                                                                                                                                                                                           ,W11,1,1,1,3,0,2017-06-26 14:55:23+00,TRUE
152,'W1.1+                                                                                                                                                                                                                                                          ,W11+,1,1,1,3,0,2017-06-26 14:55:23+00,TRUE
153,'W1.1+S+                                                                                                                                                                                                                                                        ,W11+S+,1,1,1,4,1,2017-06-26 14:55:23+00,TRUE
154,'W1.1S                                                                                                                                                                                                                                                          ,W11S,1,1,1,4,1,2017-06-26 14:55:23+00,TRUE
155,'W1.2                                                                                                                                                                                                                                                           ,W12,1,2,2,4,0,2017-06-26 14:55:23+00,TRUE
156,'W1.2+                                                                                                                                                                                                                                                          ,W12+,1,2,2,4,0,2017-06-26 14:55:23+00,TRUE
157,'W1.2+S+                                                                                                                                                                                                                                                        ,W12+S+,1,2,2,5,1,2017-06-26 14:55:23+00,TRUE
158,'W1.2S1                                                                                                                                                                                                                                                         ,W12S1,1,2,3,6,1,2017-06-26 14:55:23+00,TRUE
159,'W1.3                                                                                                                                                                                                                                                           ,W13,1,3,3,5,0,2017-06-26 14:55:23+00,TRUE
160,'W1.3+                                                                                                                                                                                                                                                          ,W13+,1,3,3,5,0,2017-06-26 14:55:23+00,TRUE
161,'W1.W+                                                                                                                                                                                                                                                          ,W1W+,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
162,'W2.2                                                                                                                                                                                                                                                           ,W22,2,2,2,5,0,2017-06-26 14:55:23+00,TRUE
163,'R.1+S+S+S+                                                                                                                                                                                                                                                     ,R1+S+S+S+,NULL,1,1,NULL,3,2019-06-11 00:00:00+00,TRUE
164,'1.2+S+                                                                                                                                                                                                                                                         ,12+S+,1,2,2,5,1,2019-06-11 00:00:00+00,TRUE
165,'3.1+S+1+                                                                                                                                                                                                                                                       ,31+S+1+,3,1,2,7,1,2019-06-11 00:00:00+00,TRUE
166,'1.1+S+1+                                                                                                                                                                                                                                                       ,11+S+1+,1,1,2,5,1,2019-06-11 00:00:00+00,TRUE
168,'H2.+                                                                                                                                                                                                                                                           ,H2+,2,0,0,3,0,2019-06-11 00:00:00+00,TRUE
169,'1.2S1                                                                                                                                                                                                                                                          ,12S1,1,2,3,6,1,2019-06-11 00:00:00+00,TRUE
